CRID,Gender,Race
1052117,M,Black
1052119,M,Black
1052120,M,White
1052121,M,Black
1052125,M,White/Hispanic
1052128,F,Black
1052129,F,Black
1052134,M,Black
1052137,M,White
1052139,F,White/Hispanic
1052141,F,Black
1052143,F,Black
1052144,M,White
1052145,M,Black
1052147,F,White
1052148,M,Black
1052149,M,White/Hispanic
1052150,M,White
1052152,F,Black
1052153,M,White
1052154,M,White
1052155,F,Hispanic
1052155,M,White
1052156,F,White
1052158,F,Unknown
1052159,F,Black
1052160,M,Black
1052161,F,Indigenous
1052163,F,Black
1052164,M,Black
1052165,M,Black
1052169,M,Black
1052170,F,Black
1052171,F,Black
1052172,F,Black
1052173,M,Black
1052174,F,Black
1052175,F,Unknown
1052176,F,Black/Hispanic
1052177,F,Unknown
1052178,F,Black
1052179,F,Black
1052182,M,White/Hispanic
1052183,F,Black
1052185,F,White
1052189,F,Black
1052191,M,Black
1052192,F,White
1052194,M,Black
1052196,M,Hispanic
1052197,F,Black
1052198,M,Black
1052199,F,Black
1052200,F,Unknown
1052200,F,Unknown
1052203,F,Black
1052204,F,Hispanic
1052205,F,Black
1052206,F,Black
1052207,F,Black
1052210,F,Black
1052211,F,White
1052212,M,Black
1052213,F,Black
1052214,F,Black
1052216,M,White
1052217,M,White/Hispanic
1052219,F,Black
1052220,F,Black
1052221,M,White/Hispanic
1052223,M,Black
1052224,F,Black
1052226,F,Black
1052227,F,Black
1052229,F,Black
1052230,M,Black
1052232,F,Black
1052233,M,Black
1052237,M,White
1052239,F,Black
1052244,M,Black
1052245,F,Black
1052246,M,Black
1052247,F,Black
1052248,F,White
1052250,F,Black
1052252,M,White/Hispanic
1052253,F,Black
1052254,M,White
1052255,M,White
1052256,M,Black
1052257,F,Black
1052258,F,White
1052260,F,Black
1052262,M,Black
1052263,M,Black
1052264,M,Black
1052265,F,White
1052266,F,White
1052267,F,Black
1052268,M,White
1052269,F,Black
1052270,M,Black
1052271,M,Black
1052272,F,Black
1052274,F,Black
1052275,M,White
1052281,F,Black
1052283,F,Black
1052284,M,Unknown
1052285,F,Black
1052286,M,Black
1052288,M,Black
1052290,M,White
1052291,M,White
1052292,M,Black
1052293,M,Black
1052294,M,Black
1052295,M,White/Hispanic
1052296,F,Black
1052298,M,Black
1052303,M,White
1052304,M,White
1052305,M,White/Hispanic
1052306,F,Black
1052308,F,Black
1052314,M,White
1052315,F,White
1052316,M,Black
1052317,M,Black
1052319,M,Black
1052320,F,Black
1052321,M,Hispanic
1052324,M,Black
1052325,M,White
1052327,M,Black
1052329,M,White
1052330,M,Black
1052331,M,Black
1052332,F,Black
1052333,M,Black
1052334,M,Black
1052336,M,Black
1052337,M,White
1052338,F,White/Hispanic
1052341,F,White/Hispanic
1052342,F,Black
1052343,F,Black
1052344,M,Asian
1052345,F,Unknown
1052346,F,White
1052347,F,Black
1052350,F,White
1052351,F,White/Hispanic
1052352,F,Black
1052356,F,Black
1052361,F,Unknown
1052362,M,White/Hispanic
1052364,F,White
1052365,M,Black
1052366,M,Black
1052367,M,Black
1052368,M,Black
1052374,F,White/Hispanic
1052375,F,Black
1052377,M,Black
1052378,M,White
1052379,F,Black
1052382,M,Black
1052383,F,White/Hispanic
1052384,M,White/Hispanic
1052385,F,Black
1052387,M,Black
1052390,M,Black
1052392,F,Black
1052395,F,Black
1052398,F,Black
1052399,F,Black
1052404,M,Black
1052405,M,White
1052406,M,Black
1052408,F,Black
1052409,M,White/Hispanic
1052410,M,Black
1052411,F,Black
1052411,F,Black
1052413,M,Hispanic
1052415,M,Hispanic
1052418,F,Black
1052419,F,Black
1052420,M,Black
1052421,F,White
1052422,F,Black
1052423,F,Black
1052424,M,Black
1052426,M,Black
1052427,M,Black
1052428,M,White/Hispanic
1052430,F,Hispanic
1052431,M,Asian
1052434,M,Black
1052435,F,Unknown
1052436,F,Unknown
1052437,M,White/Hispanic
1052441,F,Black
1052442,F,Black
1052443,M,Black
1052444,F,Hispanic
1052448,F,Black
1052449,M,Black
1052450,M,Black
1052451,M,Black
1052452,M,Black
1052454,M,Black/Hispanic
1052456,M,Black
1052461,M,White
1052462,M,Black
1052463,M,Black
1052464,F,Black
1052465,M,White/Hispanic
1052466,M,Black
1052467,F,White/Hispanic
1052468,M,Black
1052469,F,White
1052471,M,Black
1052472,M,Unknown
1052472,M,Unknown
1052472,M,Black
1052473,M,White
1052474,M,White/Hispanic
1052475,F,White
1052476,F,Black
1052477,F,White
1052478,M,Black
1052479,F,Black
1052486,F,White
1052489,F,White/Hispanic
1052490,F,Black
1052491,M,White/Hispanic
1052492,F,Black
1052493,F,White/Hispanic
1052494,M,Black
1052495,M,Black
1052499,F,Black
1052503,M,Black
1052504,F,Black
1052505,F,Black
1052506,F,Black
1052507,M,Black
1052508,F,White
1052509,M,Black
1052510,M,White
1052511,M,White
1052512,M,White/Hispanic
1052514,M,White
1052515,M,White/Hispanic
1052516,M,Black
1052517,F,Black
1052518,M,White
1052519,M,White
1052520,M,Black
1052521,M,Black
1052523,M,Black
1052528,F,Black
1052529,F,Black
1052530,M,Black
1052534,M,Black
1052535,M,Black
1052536,F,Black
1052537,F,Black
1052538,F,Black
1052540,M,White
1052541,M,White
1052542,F,Black
1052545,M,White
1052546,F,Black
1052548,F,Black
1052551,M,Black
1052554,M,White
1052555,F,Unknown
1052556,M,Black
1052557,F,Hispanic
1052558,F,White
1052559,F,Black
1052560,F,Black
1052561,M,Black
1052562,F,Black
1052563,M,Black
1052564,F,White/Hispanic
1052565,M,Asian
1052566,M,Black
1052566,F,Black
1052567,F,Black
1052568,F,Black
1052569,F,White
1052573,F,Black
1052574,M,Black
1052575,M,Black
1052576,F,White/Hispanic
1052581,F,Black
1052586,F,Black
1052587,M,White/Hispanic
1052589,F,Black
1052590,F,Black
1052591,M,White/Hispanic
1052592,M,Black
1052594,F,Black
1052596,M,Black
1052597,F,White/Hispanic
1052598,F,Black
1052605,F,Black
1052606,F,Black
1052609,M,Black
1052610,F,Black
1052618,M,Black
1052620,M,White
1052622,M,Unknown
1052624,M,White
1052626,F,Hispanic
1052626,M,White
1052627,M,Black
1052630,M,Black
1052632,F,White
1052633,F,Black
1052634,F,Black
1052635,F,Black
1052636,F,Black
1052638,M,White/Hispanic
1052639,F,Black
1052639,F,Black
1052640,F,White
1052643,M,Black
1052644,F,Black
1052645,F,Black
1052647,M,White
1052650,F,Black
1052651,M,White/Hispanic
1052653,F,Black
1052655,M,Asian
1052658,F,Black
1052659,F,Black
1052661,F,White
1052662,F,Black
1052663,M,White
1052664,F,Black
1052673,M,Black
1052676,M,White
1052677,F,Black
1052678,M,Asian
1052680,F,Unknown
1052683,M,Black
1052685,M,Black
1052690,M,Black
1052691,F,Black
1052692,F,Black
1052694,M,White
1052695,F,Hispanic
1052696,F,White/Hispanic
1052697,F,Black
1052698,M,White
1052699,F,White
1052700,F,White
1052703,F,White
1052705,F,Black
1052706,M,Black
1052707,F,Black
1052708,F,White/Hispanic
1052710,F,Black
1052714,F,White/Hispanic
1052716,M,Black
1052717,F,White/Hispanic
1052717,M,Black
1052721,F,White/Hispanic
1052722,M,Black
1052723,F,White/Hispanic
1052727,M,Black
1052729,F,Black
1052730,F,Black
1052731,F,Black
1052732,M,White/Hispanic
1052733,F,Black
1052735,M,White
1052736,F,Black
1052737,M,White
1052738,M,White
1052739,F,Black
1052740,M,Black
1052741,M,Black
1052742,M,White
1052746,M,Unknown
1052747,F,White/Hispanic
1052748,F,Black
1052749,F,Black
1052750,M,Black
1052751,M,Black
1052754,M,White/Hispanic
1052755,F,Unknown
1052759,F,Black
1052760,M,White
1052763,M,Black
1052764,F,Unknown
1052768,M,Black
1052769,F,Black
1052770,M,Black
1052772,F,White/Hispanic
1052773,F,Black
1052774,F,White/Hispanic
1052775,M,Hispanic
1052776,F,Black
1052778,F,White
1052782,F,White
1052784,M,White
1052789,F,Unknown
1052794,F,Black
1052795,M,Black
1052796,M,Black
1052798,M,Black
1052799,M,Black
1052801,M,Black
1052803,M,Black
1052806,M,White/Hispanic
1052807,F,White
1052808,M,Black
1052809,M,White/Hispanic
1052810,F,White
1052811,M,White/Hispanic
1052813,M,Black
1052814,M,Black
1052820,M,Hispanic
1052821,F,Black
1052828,M,Black
1052833,F,Black
1052834,M,Black
1052835,F,Black
1052836,M,Black
1052837,M,Black
1052838,M,White/Hispanic
1052842,M,Black
1052844,F,Black
1052846,M,White
1052847,F,Black
1052848,M,Black
1052849,F,Black
1052850,F,White/Hispanic
1052853,F,White
1052854,M,Black
1052856,F,Black
1052860,M,Black
1052861,M,Black
1052863,M,White
1052864,M,Black
1052867,M,White
1052868,F,Black
1052869,F,Black
1052870,F,White
1052871,F,White
1052872,M,Black
1052873,F,Black
1052875,M,Unknown
1052877,M,White
1052881,F,Black
1052882,F,Black
1052883,M,Black
1052884,M,White
1052886,M,White/Hispanic
1052890,M,Black
1052891,M,White
1052893,F,Asian
1052895,F,Black
1052896,F,White/Hispanic
1052898,F,Black
1052901,M,Black
1052903,M,Black
1052908,F,White
1052910,M,White
1052911,M,Black
1052912,F,White
1052913,M,Black
1052915,M,Black
1052917,M,White
1052919,M,Black
1052922,F,Black
1052924,F,Black
1052926,M,Black
1052927,M,White
1052928,M,White/Hispanic
1052929,M,Unknown
1052931,F,White
1052932,M,Black
1052933,F,Black
1052936,F,White
1052937,M,White/Hispanic
1052938,M,Black
1052941,F,Black
1052943,M,Black
1052944,M,White
1052945,F,White
1052946,M,White/Hispanic
1052947,M,Black
1052948,F,Black
1052951,F,White/Hispanic
1052953,M,Black
1052954,F,Black
1052955,M,White
1052958,M,White
1052961,F,White
1052964,M,Black
1052965,F,Black
1052966,F,Black
1052967,M,Black
1052968,M,Black
1052969,M,Asian
1052970,M,Black
1052973,M,White
1052975,F,Black
1052977,F,White/Hispanic
1052979,F,Black
1052980,M,White
1052981,F,Black
1052982,F,Black
1052983,F,Black
1052984,M,White
1052985,F,Black
1052986,F,Black
1052988,F,Black
1052989,M,Black
1052990,M,Black
1052994,M,White
1052995,F,White
1052998,F,Black
1052999,M,White/Hispanic
1053002,F,White
1053005,F,Black
1053007,F,Black
1053009,M,Black
1053011,M,White
1053012,M,White
1053015,F,Unknown
1053017,F,White/Hispanic
1053019,F,Unknown
1053022,M,White
1053028,M,Black
1053029,M,Hispanic
1053030,F,Black
1053032,F,Black
1053033,M,Black
1053034,M,White
1053036,F,Black
1053041,M,White
1053042,M,Black
1053046,M,Black
1053047,M,Black
1053048,M,Black
1053049,M,White
1053050,M,Black
1053051,F,Black
1053052,F,Unknown
1053052,M,Black
1053055,F,Black
1053061,F,Unknown
1053063,M,Black
1053064,F,White
1053066,F,Black
1053068,F,Black
1053071,F,Black
1053072,M,Black
1053073,M,Black
1053075,M,Black
1053075,F,Black
1053076,F,Black
1053078,M,White
1053079,M,Black
1053080,F,Black
1053081,M,White
1053084,F,Black
1053085,M,Black
1053093,F,Black
1053095,M,Black
1053097,M,White
1053098,M,Black
1053099,M,White/Hispanic
1053100,F,Black
1053101,F,White
1053103,F,Black
1053104,M,Black
1053106,M,Black
1053107,M,Black
1053109,M,White
1053111,F,Unknown
1053112,M,White
1053113,M,Black
1053114,F,White
1053115,F,White
1053117,M,Black
1053120,M,White/Hispanic
1053122,M,White
1053124,F,Black
1053128,F,Unknown
1053132,M,White
1053133,F,Black
1053134,M,Black
1053135,M,Black
1053138,F,Black
1053139,M,Black
1053140,M,Black
1053141,M,White
1053144,M,White/Hispanic
1053150,F,Black
1053153,M,Black
1053154,F,Black
1053155,F,White
1053156,F,Black
1053157,F,Black
1053158,F,Black
1053159,M,Black
1053160,F,White/Hispanic
1053161,F,Black
1053164,M,White
1053165,M,White
1053166,M,White
1053168,M,Unknown
1053169,F,White
1053173,M,White
1053174,M,White
1053179,M,Black
1053181,M,Unknown
1053187,M,White/Hispanic
1053187,F,White
1053188,M,Black
1053191,M,Black
1053192,F,Black
1053195,M,White/Hispanic
1053196,F,Hispanic
1053196,F,White
1053199,F,Black
1053201,F,Black
1053203,M,Black
1053205,M,Asian
1053207,F,Black
1053208,F,Black
1053209,M,Black
1053213,F,White/Hispanic
1053214,F,Black
1053215,F,Black
1053216,F,Black
1053217,M,Black
1053219,M,White
1053221,F,Black
1053223,F,Black
1053224,M,Black
1053226,M,Black
1053231,F,Black
1053236,F,Black
1053239,M,Black
1053242,M,Black
1053245,M,Black
1053246,F,Black
1053248,F,Black
1053249,M,Black
1053250,M,Unknown
1053252,M,Black
1053253,M,Black
1053253,M,Black
1053255,F,White
1053257,M,Black
1053258,M,Black
1053259,M,Black
1053260,M,Black
1053261,F,Unknown
1053262,F,White
1053263,M,Black
1053266,M,Black
1053268,F,White/Hispanic
1053270,M,Asian
1053271,F,Black
1053275,M,Black
1053278,F,White
1053279,F,Black
1053280,M,White/Hispanic
1053282,M,White
1053283,F,Black
1053284,F,Black
1053285,F,Black
1053287,F,Black
1053288,M,Black
1053290,F,Black
1053291,F,Black
1053292,M,Black
1053296,F,Black
1053299,F,Asian
1053304,F,Black
1053305,F,White/Hispanic
1053308,M,Black
1053310,F,Black
1053313,M,White/Hispanic
1053314,M,Black
1053315,M,Black
1053317,F,Black
1053318,F,Black
1053319,F,Black
1053320,M,Black
1053321,F,Black
1053322,M,White/Hispanic
1053323,M,Black
1053324,M,White/Hispanic
1053325,F,Black
1053327,F,White
1053333,F,White
1053335,F,White
1053336,M,White
1053337,M,Black
1053338,F,Black
1053339,M,White
1053340,F,Black
1053341,F,Black
1053343,F,Black
1053344,F,Black
1053345,M,Black
1053346,M,White
1053347,F,Black
1053349,M,Black
1053351,M,White/Hispanic
1053358,F,Black
1053360,M,White/Hispanic
1053361,F,Black
1053362,F,White/Hispanic
1053364,F,White
1053365,F,Black
1053366,M,Hispanic
1053366,M,Black
1053367,F,Black
1053368,M,White
1053369,M,White
1053370,M,Asian
1053371,F,White
1053372,M,White
1053378,F,White/Hispanic
1053380,F,Black
1053381,M,Black
1053382,M,White/Hispanic
1053383,F,Black
1053385,F,Black
1053385,M,Unknown
1053387,F,Black
1053388,M,White/Hispanic
1053393,M,Black
1053395,M,Black
1053397,M,Unknown
1053398,F,Black
1053399,F,Black
1053401,F,Black
1053402,M,Black
1053403,M,Black
1053405,M,White
1053407,F,Black
1053410,F,Black
1053411,M,Black
1053413,M,White/Hispanic
1053414,M,White
1053415,M,White
1053416,M,Black
1053419,M,Black
1053420,M,White/Hispanic
1053421,F,Unknown
1053421,M,Unknown
1053423,F,Unknown
1053425,F,Unknown
1053426,F,Black
1053428,M,White
1053429,F,Unknown
1053430,M,Black
1053431,F,White
1053432,M,White/Hispanic
1053434,F,Black
1053435,F,Black
1053437,F,Black
1053439,F,White
1053440,M,Black
1053442,M,White
1053444,F,Black
1053447,F,Black
1053448,F,Black
1053449,M,Black
1053452,F,Black
1053453,F,White/Hispanic
1053457,F,White
1053460,F,White
1053463,F,Black
1053464,M,Black
1053466,F,White/Hispanic
1053470,M,Black
1053472,M,Black
1053473,M,Unknown
1053475,F,Black/Hispanic
1053476,F,White/Hispanic
1053477,M,Black
1053478,M,Black
1053481,F,Black
1053482,M,Black
1053483,F,White/Hispanic
1053484,M,Black
1053485,F,Black
1053486,F,White
1053487,M,Black
1053488,F,Black
1053491,M,Black
1053492,F,Black
1053493,M,White/Hispanic
1053494,F,Black
1053495,F,Unknown
1053497,M,Black
1053498,F,White/Hispanic
1053500,M,Black
1053501,M,Black
1053502,M,Black
1053503,M,Black
1053504,M,White/Hispanic
1053505,F,Black
1053506,F,White
1053508,M,White
1053509,M,White/Hispanic
1053510,M,Black
1053513,F,Black
1053516,F,Unknown
1053517,M,White/Hispanic
1053518,F,Black
1053519,F,White/Hispanic
1053520,M,Black
1053521,F,White
1053524,M,Black
1053526,M,White
1053527,F,White/Hispanic
1053529,M,White/Hispanic
1053532,M,White
1053534,M,Black
1053536,M,Asian
1053537,M,Black
1053538,M,Black
1053540,F,Black
1053541,M,White
1053542,M,Black
1053543,F,Black
1053544,F,Black
1053545,M,White
1053546,M,Unknown
1053548,M,Black
1053549,M,Unknown
1053550,F,Black
1053552,F,Black
1053555,M,Black
1053557,F,Black
1053561,F,Black
1053563,M,Black
1053564,F,Black
1053565,F,White
1053570,M,Black
1053571,M,Black
1053577,M,White
1053579,M,Black
1053581,F,Black
1053582,F,Black
1053583,F,Black
1053584,M,Black
1053584,F,Black
1053585,F,Black
1053586,M,Black
1053590,M,Black
1053591,F,Black
1053593,M,Black
1053595,F,Black
1053597,M,Black
1053598,M,White
1053600,F,Black
1053602,M,White
1053603,F,White/Hispanic
1053604,F,Black
1053605,M,White
1053607,F,Black
1053608,F,Black
1053611,M,Black
1053613,M,White/Hispanic
1053615,M,Black
1053616,M,Unknown
1053617,M,Unknown
1053618,M,Unknown
1053619,F,Black
1053620,F,White/Hispanic
1053621,M,Black
1053623,M,Black
1053624,M,Black
1053627,F,Unknown
1053628,M,Black
1053629,M,Black
1053630,F,Black
1053631,M,White/Hispanic
1053632,F,Black
1053634,M,Black
1053635,M,Black
1053637,F,Black
1053638,F,Black
1053639,F,Black
1053644,M,Black
1053645,M,Black
1053646,M,Black
1053647,F,White
1053648,M,Black
1053649,M,Black
1053651,M,Black
1053652,M,White/Hispanic
1053653,F,Black
1053655,F,White
1053656,M,Black
1053659,M,White
1053661,F,White
1053662,M,White/Hispanic
1053664,F,Black
1053665,F,Black
1053666,F,Black
1053667,M,White
1053669,M,Black
1053671,F,Black
1053673,M,Black
1053674,M,White
1053675,M,Black
1053676,F,Black
1053677,M,Black
1053678,F,Black
1053679,M,White
1053680,M,White
1053682,M,Black
1053683,F,Black
1053684,M,Black
1053685,F,Black
1053686,M,White
1053687,F,White
1053688,M,Indigenous
1053689,M,White
1053691,M,Unknown
1053693,M,Unknown
1053695,M,White
1053696,F,White
1053697,M,Black
1053698,M,Hispanic
1053700,M,White/Hispanic
1053701,M,Black
1053703,F,Black
1053704,M,White
1053706,F,Black
1053708,M,White
1053709,M,White
1053710,M,Unknown
1053711,M,Black
1053712,M,Black
1053713,F,Black
1053714,F,Black
1053715,M,Hispanic
1053716,F,Black
1053717,M,White
1053720,M,Black
1053723,F,Black
1053724,M,White
1053725,M,Black
1053726,M,White
1053727,M,White
1053729,M,Black
1053730,M,Black
1053731,M,Black
1053733,M,Unknown
1053734,M,Black
1053736,M,Black
1053737,F,Black
1053738,F,Black
1053739,M,Black
1053740,M,Black
1053741,M,Black
1053745,M,White
1053746,F,Black
1053747,M,Unknown
1053748,F,Black
1053749,M,Black
1053750,M,Black
1053751,M,Black
1053752,F,Black
1053753,M,Black
1053760,F,White
1053764,F,Black
1053767,M,White
1053768,M,White
1053769,F,Asian
1053773,F,Black
1053775,M,Black
1053776,F,Black
1053777,F,Black
1053778,M,Unknown
1053780,M,Black
1053781,F,Black
1053782,M,Black
1053783,M,Black
1053784,F,Black
1053785,M,White
1053788,F,Black
1053789,M,Hispanic
1053791,F,Hispanic
1053792,F,White/Hispanic
1053793,F,White
1053794,F,Black
1053798,F,Black
1053799,M,Black
1053800,F,Black
1053801,F,Black
1053802,F,Black
1053804,M,White
1053808,M,White
1053811,M,Black
1053815,M,Black
1053816,F,Black
1053820,M,White
1053821,M,Hispanic
1053822,M,Black
1053823,M,Black
1053824,F,Black
1053826,M,White
1053828,F,White
1053830,M,Black
1053832,F,Black
1053833,M,White/Hispanic
1053835,F,Black
1053837,M,White
1053839,F,Unknown
1053842,F,Black
1053843,F,Black
1053844,M,Black
1053845,M,White
1053846,F,Black
1053847,F,Black
1053849,M,White
1053852,M,Black
1053855,F,Black
1053857,M,Black
1053858,M,Black
1053860,M,Asian
1053862,M,Unknown
1053863,M,Black
1053866,F,Black
1053867,M,White/Hispanic
1053868,M,Asian
1053869,M,White
1053870,F,Unknown
1053874,M,Black
1053876,M,Black
1053878,F,Black
1053879,M,Black
1053880,F,Black
1053881,M,Black
1053882,M,Black
1053883,F,Black
1053884,F,Black
1053885,M,Black
1053888,M,Black
1053889,F,Black
1053890,M,White/Hispanic
1053891,M,Black
1053892,F,Black
1053893,F,Black
1053894,F,Black
1053895,M,Black
1053896,M,White
1053898,F,Black
1053899,M,Black
1053900,M,White
1053901,M,Asian
1053902,F,Black
1053903,M,Black
1053906,F,White/Hispanic
1053907,M,White/Hispanic
1053908,M,Black
1053909,M,Black
1053912,M,Black
1053913,M,Black
1053915,F,Black
1053916,F,Black
1053917,F,Black
1053918,M,White
1053921,M,White
1053922,M,Unknown
1053923,M,White
1053924,M,Black
1053926,M,Black
1053927,F,White
1053929,M,Black
1053930,M,Black
1053932,F,Black
1053933,F,Black
1053935,M,Black
1053937,M,White/Hispanic
1053939,F,Black
1053941,M,Black
1053942,F,Black
1053943,M,Black
1053944,F,Black
1053945,M,White/Hispanic
1053946,F,White/Hispanic
1053947,M,Black
1053948,F,White/Hispanic
1053950,F,White
1053951,M,Black
1053953,F,White
1053954,F,Black
1053955,M,White/Hispanic
1053956,M,Black
1053957,F,Black
1053959,M,Black
1053960,F,Black
1053964,F,Black
1053967,M,Black
1053968,M,White/Hispanic
1053968,M,White/Hispanic
1053969,M,Black
1053971,F,White
1053973,F,Black
1053975,F,Black
1053976,F,Black
1053978,F,Indigenous
1053980,F,White
1053981,M,Black
1053982,M,Black
1053984,M,Black
1053985,M,White
1053986,F,Black
1053989,F,White
1053990,M,Black
1053991,F,Black
1053992,M,Black
1053993,F,Black
1053994,M,Black
1053996,M,White/Hispanic
1053997,M,White
1054001,M,Black
1054003,M,Black
1054006,F,White
1054007,M,Black
1054008,M,Black
1054009,M,Black
1054010,M,White
1054011,F,Black
1054013,M,Black
1054015,F,White/Hispanic
1054016,M,White
1054017,M,Black
1054021,F,Black
1054023,F,Black
1054024,M,White/Hispanic
1054025,M,Black
1054026,F,Asian
1054028,M,Black
1054030,M,Black
1054033,M,White/Hispanic
1054035,F,Black
1054036,F,Black
1054037,M,Unknown
1054038,F,Black
1054039,M,Black
1054040,F,Unknown
1054041,F,Black
1054043,M,White/Hispanic
1054044,F,Black
1054045,M,Black
1054047,F,White/Hispanic
1054048,M,White/Hispanic
1054050,M,Black
1054051,M,Black
1054052,M,White/Hispanic
1054053,M,Black
1054057,M,White/Hispanic
1054062,F,Black
1054063,F,Black
1054064,F,Black
1054064,M,Black
1054067,M,Black
1054070,M,Unknown
1054071,M,Unknown
1054072,F,Black
1054073,M,Black
1054075,F,White
1054077,M,Black
1054078,M,Black
1054079,F,White/Hispanic
1054080,F,White
1054081,F,White
1054083,F,Black
1054086,M,White
1054087,F,Black
1054093,M,Black
1054094,F,Black
1054098,F,White
1054102,F,Black
1054108,M,Black
1054111,M,Black
1054114,F,Black
1054115,M,White
1054116,M,Black
1054120,F,White
1054121,M,Black
1054123,F,Black
1054125,F,Black
1054127,F,Black
1054129,M,Black
1054130,F,White/Hispanic
1054133,M,Black
1054136,F,White
1054138,M,White/Hispanic
1054139,M,Unknown
1054140,F,White
1054141,M,Black
1054145,M,Unknown
1054146,M,White
1054148,F,Black
1054149,M,White/Hispanic
1054152,M,Black
1054153,M,Black
1054154,M,Black
1054157,M,White
1054158,M,Black
1054159,M,Black
1054161,M,White
1054162,M,Black
1054164,F,Black
1054166,F,Black
1054167,M,Black
1054168,M,Asian
1054169,F,White
1054170,M,Black
1054171,M,Unknown
1054171,M,Unknown
1054177,M,White
1054178,M,Unknown
1054181,F,White/Hispanic
1054182,F,White/Hispanic
1054183,F,Black
1054186,M,Black
1054187,M,Black
1054188,F,White/Hispanic
1054189,F,Black
1054190,F,Black
1054192,M,Hispanic
1054194,M,Black
1054196,M,Black
1054197,F,White
1054198,F,Black
1054199,M,Black
1054200,M,Black
1054201,F,Black
1054202,F,White/Hispanic
1054203,F,Black
1054204,F,Black
1054205,M,White
1054206,M,Black
1054207,F,White
1054208,M,White
1054210,F,Unknown
1054214,M,Asian
1054215,F,Black
1054217,F,Black
1054222,M,White
1054223,F,Black
1054224,M,Black
1054225,F,Black
1054226,M,Black
1054227,F,Unknown
1054231,M,Black
1054233,M,Black
1054234,M,Black
1054235,M,Black
1054236,F,Black
1054237,M,White/Hispanic
1054238,M,Black
1054241,F,Black
1054242,M,Black
1054243,F,White/Hispanic
1054245,F,Black
1054246,M,White
1054247,M,Black
1054249,F,Black
1054250,F,Unknown
1054253,M,Black
1054254,M,Unknown
1054258,M,Black
1054259,F,White/Hispanic
1054262,M,White
1054263,M,Unknown
1054265,F,Black
1054267,M,Black
1054268,F,Black
1054270,M,Black
1054273,F,Black
1054276,M,Black
1054288,F,White
1054288,F,Black
1054292,M,White/Hispanic
1054293,F,Black
1054294,F,White/Hispanic
1054295,F,Black
1054297,M,Black
1054298,M,Black
1054302,F,Black
1054303,M,Black
1054305,F,White
1054306,M,Black
1054308,M,Black
1054309,M,Black
1054310,M,White
1054311,M,Black
1054312,F,Black
1054314,F,White/Hispanic
1054315,M,Black
1054316,F,Unknown
1054317,F,Black
1054318,M,White
1054321,F,Black
1054325,F,Black
1054326,M,Hispanic
1054329,M,Black
1054330,M,White
1054332,M,Black
1054333,F,Black
1054336,F,Black
1054340,F,White/Hispanic
1054344,F,Black
1054346,F,Hispanic
1054347,F,Black
1054349,M,Black
1054351,F,Black
1054352,F,Black
1054353,M,Black
1054355,M,Asian
1054356,F,Black
1054363,M,Black
1054366,M,White
1054369,M,Black
1054371,F,Black
1054372,F,Black
1054373,F,White/Hispanic
1054375,M,Black
1054378,M,Black
1054380,M,Black
1054383,F,Black
1054384,F,Black
1054391,F,White
1054392,M,Unknown
1054393,M,Black
1054394,F,White/Hispanic
1054396,M,Unknown
1054400,F,White/Hispanic
1054401,M,Black
1054404,F,Black
1054407,M,White
1054410,M,Unknown
1054411,F,Black
1054412,M,White
1054413,F,White
1054417,M,Black
1054419,F,White
1054425,M,White/Hispanic
1054429,F,White
1054430,F,Black
1054432,F,Black
1054438,M,Black
1054439,M,Black
1054440,M,White/Hispanic
1054441,F,White
1054443,F,White
1054445,M,Black
1054446,F,Black
1054450,F,Black
1054452,F,Black
1054454,F,Black
1054455,M,White
1054456,F,Black
1054458,M,Black
1054460,M,White/Hispanic
1054461,M,Black
1054463,F,Black
1054465,M,White
1054466,M,Black
1054467,M,Black
1054469,F,Black
1054469,M,Black
1054470,F,White/Hispanic
1054472,F,Black
1054474,F,Black
1054476,M,Black
1054479,F,Black
1054480,F,White/Hispanic
1054481,M,Black
1054482,M,Black
1054489,M,Black
1054491,M,Black
1054493,M,Black
1054495,M,White/Hispanic
1054496,M,Unknown
1054498,F,Black
1054499,M,Black
1054503,M,Black
1054506,M,Unknown
1054507,F,White/Hispanic
1054508,F,White
1054510,M,Unknown
1054513,M,Black/Hispanic
1054516,F,Black
1054518,F,Black
1054519,F,Black
1054520,F,Black
1054525,F,Black
1054527,F,Black
1054528,M,Black
1054533,F,Black
1054537,F,Black
1054539,F,Black
1054541,M,Black
1054542,F,Black
1054544,M,Black
1054545,F,Black
1054549,F,White
1054550,F,Black
1054551,F,Black
1054552,F,White/Hispanic
1054554,F,Black
1054556,F,Black
1054557,F,Black
1054561,M,Black
1054563,F,Black
1054564,M,Black
1054565,F,White/Hispanic
1054569,M,White
1054570,F,White/Hispanic
1054574,M,Unknown
1054575,M,White/Hispanic
1054577,M,White/Hispanic
1054578,M,White/Hispanic
1054580,M,Black
1054581,F,Black
1054582,M,Black
1054583,M,Black
1054585,M,White
1054586,F,White/Hispanic
1054587,F,Black
1054593,M,Unknown
1054598,M,Black
1054600,M,Black
1054601,M,Black
1054603,F,Black
1054605,F,Black
1054606,M,Black
1054607,F,Black
1054608,F,Unknown
1054614,M,Black
1054615,M,Black
1054619,F,Black
1054620,M,White/Hispanic
1054621,F,White/Hispanic
1054622,F,Black
1054623,M,Black
1054624,F,White
1054627,M,White
1054630,M,Black
